dt	attc	Hsw	Ta	Pa	hr	cw	WS	WDir
2021-08-20 00:00:00	0.085	0.0666666666666667	6.6254	101.0638	92.9333333333333	0.0013	2.1	350.6
2021-08-20 00:15:00	0.085	0.0666666666666667	6.5936	101.08505	93.4583333333333	0.0013	3.8	26.1
2021-08-20 00:30:00	0.085	0.0666666666666667	6.5618	101.1063	93.9833333333333	0.0013	4.1	340.9
2021-08-20 00:45:00	0.085	0.0666666666666667	6.53	101.12755	94.5083333333333	0.0013	1.2	302.9
2021-08-20 01:00:00	0.085	0.0666666666666667	6.4982	101.1488	95.0333333333333	0.0013	2.1	289.5
2021-08-20 01:15:00	0.085	0.05	6.403925	101.17505	95.3	0.0013	1.7	275.5
2021-08-20 01:30:00	0.085	0.0333333333333333	6.30965	101.2013	95.5666666666667	0.0013	2.4	240
2021-08-20 01:45:00	0.085	0.0166666666666667	6.215375	101.22755	95.8333333333333	0.0013	1.3	230.9
2021-08-20 02:00:00	0.085	0	6.1211	101.2538	96.1	0.0013	1.8	266.7
2021-08-20 02:15:00	0.085	0.0166666666666667	5.858675	101.2963	96.25	0.0013	1.3	249.1
2021-08-20 02:30:00	0.085	0.0333333333333333	5.59625	101.3388	96.4	0.0013	2.3	253.4
2021-08-20 02:45:00	0.085	0.05	5.333825	101.3813	96.55	0.0013	1.8	245.3
2021-08-20 03:00:00	0.085	0.0666666666666667	5.0714	101.4238	96.7	0.0013	1.7	232.4
2021-08-20 03:15:00	0.085	0.0666666666666667	5.179325	101.45255	96.4666666666667	0.0013	4.3	253.1
2021-08-20 03:30:00	0.085	0.0666666666666667	5.28725	101.4813	96.2333333333333	0.0013	4	267
2021-08-20 03:45:00	0.085	0.0666666666666667	5.395175	101.51005	96	0.0013	4.8	241.7
2021-08-20 04:00:00	0.085	0.0666666666666667	5.5031	101.5388	95.7666666666667	0.0013	1.5	294.6
2021-08-20 04:15:00	0.085	0.05	5.5031	101.5638	95.8583333333333	0.0013	0.9	303.9
2021-08-20 04:30:00	0.085	0.0333333333333333	5.5031	101.5888	95.95	0.0013	0	0
2021-08-20 04:45:00	0.085	0.0166666666666667	5.5031	101.6138	96.0416666666667	0.0013	1.6	315.8
2021-08-20 05:00:00	0.085	0	5.5031	101.6388	96.1333333333333	0.0013	1	299.6
2021-08-20 05:15:00	0.085	0.0166666666666667	5.517875	101.66005	96.275	0.0013	1.1	321.6
2021-08-20 05:30:00	0.085	0.0333333333333333	5.53265	101.6813	96.4166666666667	0.0013	0.9	301.9
2021-08-20 05:45:00	0.085	0.05	5.547425	101.70255	96.5583333333333	0.0013	2	291
2021-08-20 06:00:00	0.085	0.0666666666666667	5.5622	101.7238	96.7	0.0013	1.5	309.9
2021-08-20 06:15:00	0.085	0.05	5.497475	101.7463	96.6333333333333	0.0013	1.1	277.1
2021-08-20 06:30:00	0.085	0.0333333333333333	5.43275	101.7688	96.5666666666667	0.0013	1.4	168.4
2021-08-20 06:45:00	0.085	0.0166666666666667	5.368025	101.7913	96.5	0.0013	0.2	240.1
2021-08-20 07:00:00	0.085	0	5.3033	101.8138	96.4333333333333	0.0013	0	0
2021-08-20 07:15:00	0.085	0.0166666666666667	5.183975	101.81755	96.3416666666667	0.0013	1.4	246.1
2021-08-20 07:30:00	0.085	0.0333333333333333	5.06465	101.8213	96.25	0.0013	1.5	254.2
2021-08-20 07:45:00	0.085	0.05	4.945325	101.82505	96.1583333333333	0.0013	2.1	253.6
2021-08-20 08:00:00	0.085	0.0666666666666667	4.826	101.8288	96.0666666666667	0.0013	2.3	253
2021-08-20 08:15:00	0.085	0.0666666666666667	4.5965	101.86255	96.2166666666667	0.0013	2.7	265.8
2021-08-20 08:30:00	0.085	0.0666666666666667	4.367	101.8963	96.3666666666667	0.0013	2.4	235
2021-08-20 08:45:00	0.085	0.0666666666666667	4.1375	101.93005	96.5166666666667	0.0013	3	253.8
2021-08-20 09:00:00	0.085	0.0666666666666667	3.908	101.9638	96.6666666666667	0.0013	2.3	244.1
2021-08-20 09:15:00	0.085	0.0666666666666667	3.81485	101.99255	96.8541666666667	0.0013	3	226.9
2021-08-20 09:30:00	0.085	0.0666666666666667	3.7217	102.0213	97.0416666666667	0.0013	2.9	212.7
2021-08-20 09:45:00	0.085	0.0666666666666667	3.62855	102.05005	97.2291666666667	0.0013	2.5	212.4
2021-08-20 10:00:00	0.085	0.0666666666666667	3.5354	102.0788	97.4166666666667	0.0013	1	237.8
2021-08-20 10:15:00	0.085	0.0666666666666667	3.34685	102.10755	97.5791666666667	0.0013	1.1	119.8
2021-08-20 10:30:00	0.085	0.0666666666666667	3.1583	102.1363	97.7416666666667	0.0013	0	0
2021-08-20 10:45:00	0.085	0.0666666666666667	2.96975	102.16505	97.9041666666667	0.0013	0.2	169.8
2021-08-20 11:00:00	0.085	0.0666666666666667	2.7812	102.1938	98.0666666666667	0.0013	1.4	160.7
2021-08-20 11:15:00	0.085	3.59166666666667	3.0629	102.1988	98.0166666666667	0.0013	0	0
2021-08-20 11:30:00	0.085	7.11666666666667	3.3446	102.2038	97.9666666666667	0.0013	0	0
2021-08-20 11:45:00	0.085	10.6416666666667	3.6263	102.2088	97.9166666666667	0.0013	3.4	222.9
2021-08-20 12:00:00	0.085	14.1666666666667	3.908	102.2138	97.8666666666667	0.0013	2	76.6
2021-08-20 12:15:00	0.085	40.8	4.10795	102.2188	97.5	0.0013	0	0
2021-08-20 12:30:00	0.085	67.4333333333333	4.3079	102.2238	97.1333333333333	0.0013	0	0
2021-08-20 12:45:00	0.085	94.0666666666667	4.50785	102.2288	96.7666666666667	0.0013	0	0
2021-08-20 13:00:00	0.085	120.7	4.7078	102.2338	96.4	0.0013	0	0
2021-08-20 13:15:00	0.085	146.25	5.4122	102.23755	94.7666666666667	0.0013	1.5	100.3
2021-08-20 13:30:00	0.085	171.8	6.1166	102.2413	93.1333333333333	0.0013	1.6	81.3
2021-08-20 13:45:00	0.085	197.35	6.821	102.24505	91.5	0.0013	0.4	82.8
2021-08-20 14:00:00	0.085	222.9	7.5254	102.2488	89.8666666666667	0.0013	2	59.9
2021-08-20 14:15:00	0.085	287.508333333333	7.983275	102.2463	87.5833333333333	0.0013	0.3	7.3
2021-08-20 14:30:00	0.085	352.116666666667	8.44115	102.2438	85.3	0.0013	4.1	5.2
2021-08-20 14:45:00	0.085	416.725	8.899025	102.2413	83.0166666666667	0.0013	3.9	9.5
2021-08-20 15:00:00	0.085	481.333333333333	9.3569	102.2388	80.7333333333333	0.0013	3.4	28.5
2021-08-20 15:15:00	0.085	491.366666666667	9.66365	102.2388	79.35	0.0013	2.8	21.8
2021-08-20 15:30:00	0.085	501.4	9.9704	102.2388	77.9666666666667	0.0013	6.2	8.5
2021-08-20 15:45:00	0.085	511.433333333333	10.27715	102.2388	76.5833333333333	0.0013	2.5	14.4
2021-08-20 16:00:00	0.085	521.466666666667	10.5839	102.2388	75.2	0.0013	2.9	352
2021-08-20 16:15:00	0.085	470.858333333333	10.614575	102.2288	74.1166666666667	0.0013	3.8	333.4
2021-08-20 16:30:00	0.085	420.25	10.64525	102.2188	73.0333333333333	0.0013	2.9	350
2021-08-20 16:45:00	0.085	369.641666666667	10.675925	102.2088	71.95	0.0013	7.1	12.3
2021-08-20 17:00:00	0.085	319.033333333333	10.7066	102.1988	70.8666666666667	0.0013	5	356.8
2021-08-20 17:15:00	0.085	342.691666666667	10.8134	102.16005	69.9916666666667	0.0013	4.3	357.9
2021-08-20 17:30:00	0.085	366.35	10.9202	102.1213	69.1166666666667	0.0013	5.9	340.5
2021-08-20 17:45:00	0.085	390.008333333333	11.027	102.08255	68.2416666666667	0.0013	4.2	3.1
2021-08-20 18:00:00	0.085	413.666666666667	11.1338	102.0438	67.3666666666667	0.0013	4.5	358.2
2021-08-20 18:15:00	0.085	412.391666666667	11.107625	102.0338	67.9833333333333	0.0013	3.5	344.2
2021-08-20 18:30:00	0.085	411.116666666667	11.08145	102.0238	68.6	0.0013	5	20.9
2021-08-20 18:45:00	0.085	409.841666666667	11.055275	102.0138	69.2166666666667	0.0013	6.2	20.8
